label,text,clean_text,clean_text_tok
0.0,i feel like ive been defeated,feel like ive defeat,"['feel', 'like', 'ive', 'defeat']"
0.0,i feel a little pained but that will probably pass the last illusions of childhood,feel little pained probably pas last illusion childhood,"['feel', 'little', 'pained', 'probably', 'pas', 'last', 'illusion', 'childhood']"
0.0,My dog is missing. We have been looking for her for almost a week. He is a three year old rescue dog that we have only had for a few months.,dog miss look almost week three year old rescue dog month,"['dog', 'miss', 'look', 'almost', 'week', 'three', 'year', 'old', 'rescue', 'dog', 'month']"
0.0,ive never thought i would feel so guilty for trying to protect someones feelings,ive never think would feel guilty try protect someone feeling,"['ive', 'never', 'think', 'would', 'feel', 'guilty', 'try', 'protect', 'someone', 'feeling']"
0.0,"Without, without these arms, and your face, and this heart.",without without arm face heart,"['without', 'without', 'arm', 'face', 'heart']"
0.0,My rent is going up and I can't afford it. Now we will all have to move,rent go afford move,"['rent', 'go', 'afford', 'move']"
0.0,i do this because the worse they are the more justified i feel a needy man on the street suddenly represents a threat to my very peace and freedom,bad justified feel needy man street suddenly represent threat peace freedom,"['bad', 'justified', 'feel', 'needy', 'man', 'street', 'suddenly', 'represent', 'threat', 'peace', 'freedom']"
0.0,i do know is that even though its hard and sometimes we feel inadequate drained and like we cant go any further and just need a break even for a week or two,know even though hard sometimes feel inadequate drain like cant go need break even week two,"['know', 'even', 'though', 'hard', 'sometimes', 'feel', 'inadequate', 'drain', 'like', 'cant', 'go', 'need', 'break', 'even', 'week', 'two']"
0.0,im overreacting or perhaps the feeling i felt was just an amplified reaction to the way she has ignored almost everything ive said in class or the stupid smile and her tone she has been using in those rare cases she hasnt ignored me,im overreact perhaps feel felt amplified reaction way ignore almost everything ive say class stupid smile tone use rare case hasnt ignore,"['im', 'overreact', 'perhaps', 'feel', 'felt', 'amplified', 'reaction', 'way', 'ignore', 'almost', 'everything', 'ive', 'say', 'class', 'stupid', 'smile', 'tone', 'use', 'rare', 'case', 'hasnt', 'ignore']"
0.0,i was feeling remorseful about my breakfast and so i took a diet pill,feel remorseful breakfast take diet pill,"['feel', 'remorseful', 'breakfast', 'take', 'diet', 'pill']"
